Grafo,Algoritmo,Fit Inicial Médio,Fit Melhor Médio,Tempo Execução Médio (s),Ganho Relativo Médio (%)
berlin52,Original,25874.493077765204,13453.634462849364,0.8886233254482871,47.954351846678286
berlin52,1DeleteCross,25920.39362634664,9483.369918394466,2.8071730613708494,63.35680283099721
berlin52,1DC-Solucao-Cluster2x2,26040.30613252373,10662.712851437063,2.716883885860443,59.03742081291347
berlin52,1DC-AG-Cluster2x2,25875.963890349794,9540.231471471561,6.8276522397995,63.11888029402447
ch150,Original,49142.677754884244,28886.392985140854,4.2522730231285095,41.20321937825688
ch150,1DeleteCross,49201.45811094947,19481.414232251038,12.897952330112457,60.390659533750714
ch150,1DC-Solucao-Cluster2x2,49167.151633598434,9194.532013407832,13.556577241420745,81.29977272476822
ch150,1DC-AG-Cluster2x2,49237.51121166181,9248.636347635222,41.08664479255676,81.21412588959345
rd400,Original,200077.11694710446,126943.52050429882,24.92774631977081,36.55105030739639
rd400,1DeleteCross,200834.90827962704,82159.23771109915,55.36186872720718,59.086782890822086
rd400,1DC-Solucao-Cluster2x2,200579.2672424435,37108.09342108272,29.818574035167693,81.50006577134187
rd400,1DC-AG-Cluster2x2,199967.89920116204,36727.31250440877,132.67548201084136,81.63140381933263
